PNA,ADRESS,WOJ
87-301 Bartniki,Brodnica brodnicki,kujawsko-pomorskie
06-300 Bartniki,Przasnysz przasnyski,mazowieckie
96-332 Bartniki,Puszcza Mariańska żyrardowski,mazowieckie
16-316 Bartniki,Lipsk augustowski,podlaskie
11-106 Bartniki,Kiwity lidzbarski,warmińsko-mazurskie
98-290 Bartochów,Warta sieradzki,łódzkie
98-290 Bartochów (Brzezinka),Warta sieradzki,łódzkie
98-290 Bartochów (Wilk Bartochowski),Warta sieradzki,łódzkie
56-215 Bartodzieje,Niechlów górowski,dolnośląskie
97-515 Bartodzieje,Masłowice radomszczański,łódzkie
05-622 Bartodzieje,Belsk Duży grójecki,mazowieckie
07-215 Bartodzieje,Obryte pułtuski,mazowieckie
26-631 Bartodzieje,Jastrzębia radomski,mazowieckie
26-706 Bartodzieje,Tczów zwoleński,mazowieckie
62-100 Bartodzieje,Wągrowiec wągrowiecki,wielkopolskie
07-215 Bartodzieje-Gajówka,Obryte pułtuski,mazowieckie
95-010 Bartolin,Stryków zgierski,łódzkie
76-142 Bartolino,Malechowo sławieński,zachodniopomorskie
06-408 Bartołdy,Krasne przasnyski,mazowieckie
06-408 Bartołdy (Dębowa Karczma),Krasne przasnyski,mazowieckie
11-010 Bartołty Małe,Barczewo olsztyński,warmińsko-mazurskie
11-010 Bartołty Wielkie,Barczewo olsztyński,warmińsko-mazurskie
07-311 Bartosy,Wąsewo ostrowski,mazowieckie
08-300 Bartosz,Sokołów Podlaski sokołowski,mazowieckie
19-300 Bartosze,Ełk ełcki,warmińsko-mazurskie
19-300 Bartosze (Judziki),Ełk ełcki,warmińsko-mazurskie
87-214 Bartoszewice,Płużnica wąbrzeski,kujawsko-pomorskie
63-930 Bartoszewice,Jutrosin rawicki,wielkopolskie
72-004 Bartoszewo,Police policki,zachodniopomorskie
13-100 Bartoszki,Nidzica nidzicki,warmińsko-mazurskie
77-416 Bartoszkowo,Tarnówka złotowski,wielkopolskie
57-160 Bartoszowa,Borów strzeliński,dolnośląskie
26-006 Bartoszowiny,Nowa Słupia kielecki,świętokrzyskie
59-241 Bartoszów,Legnickie Pole legnicki,dolnośląskie
58-120 Bartoszówek,Strzegom świdnicki,dolnośląskie
59-820 Bartoszówka,Leśna lubański,dolnośląskie
97-220 Bartoszówka,Rzeczyca tomaszowski,łódzkie
96-321 Bartoszówka,Żabia Wola grodziski,mazowieckie
11-200 Bartoszyce,Bartoszyce bartoszycki,warmińsko-mazurskie
83-430 Bartoszylas,Stara Kiszewa kościerski,pomorskie
83-430 Bartoszylas (Ruda),Stara Kiszewa kościerski,pomorskie
14-230 Barty,Zalewo iławski,warmińsko-mazurskie
87-821 Baruchowo,Baruchowo włocławski,kujawsko-pomorskie
47-133 Barut,Jemielnica strzelecki,opolskie
34-124 Barwałd Dolny,Wadowice wadowicki,małopolskie
34-130 Barwałd Górny,Kalwaria Zebrzydowska wadowicki,małopolskie
34-124 Barwałd Średni,Kalwaria Zebrzydowska wadowicki,małopolskie
78-460 Barwice,Barwice szczecinecki,zachodniopomorskie
78-460 Barwice (Korzec),Barwice szczecinecki,zachodniopomorskie
83-305 Barwik,Przodkowo kartuski,pomorskie
83-305 Barwik (Wilanowo),Przodkowo kartuski,pomorskie
19-213 Barwiki,Radziłów grajewski,podlaskie
38-454 Barwinek,Dukla krośnieński,podkarpackie
77-230 Barwino,Kępice słupski,pomorskie
77-230 Barwino (Gościeradz),Kępice słupski,pomorskie
77-230 Barwino (Mielęcino),Kępice słupski,pomorskie
11-036 Barwiny,Gietrzwałd olsztyński,warmińsko-mazurskie
59-407 Barycz,Mściwojów jaworski,dolnośląskie
95-082 Barycz,Dobroń pabianicki,łódzkie
97-532 Barycz,Żytno radomszczański,łódzkie
36-230 Barycz,Domaradz brzozowski,podkarpackie
37-723 Barycz,Stubno przemyski,podkarpackie
26-070 Barycz,Łopuszno kielecki,świętokrzyskie
26-200 Barycz,Końskie konecki,świętokrzyskie
26-700 Barycz Nowa,Zwoleń zwoleński,mazowieckie
26-700 Barycz Stara,Zwoleń zwoleński,mazowieckie
26-704 Baryczka,Przyłęk zwoleński,mazowieckie
38-115 Baryczka,Niebylec strzyżowski,podkarpackie
26-700 Barycz-Kolonia,Zwoleń zwoleński,mazowieckie
73-134 Barzkowice,Stargard stargardzki,zachodniopomorskie
73-134 Barzkowice (Golinka),Stargard stargardzki,zachodniopomorskie
73-134 Barzkowice (Luboń),Stargard stargardzki,zachodniopomorskie
76-150 Barzowice,Darłowo sławieński,zachodniopomorskie
18-520 Barzykowo,Stawiski kolneński,podlaskie
46-166 Barzyna,Namysłów namysłowski,opolskie
14-411 Barzyna,Rychliki elbląski,warmińsko-mazurskie
96-314 Basin,Baranów grodziski,mazowieckie
26-910 Basinów,Magnuszew kozienicki,mazowieckie
07-230 Basinów,Zabrodzie wyszkowski,mazowieckie
24-340 Basonia,Józefów nad Wisłą opolski,lubelskie
72-300 Baszewice,Gryfice gryficki,zachodniopomorskie
21-003 Baszki,Niemce lubelski,lubelskie
63-760 Baszków,Zduny krotoszyński,wielkopolskie
05-503 Baszkówka,Piaseczno piaseczyński,mazowieckie
37-621 Basznia Dolna,Lubaczów lubaczowski,podkarpackie
37-621 Basznia Górna,Lubaczów lubaczowski,podkarpackie
26-006 Baszowice,Nowa Słupia kielecki,świętokrzyskie
56-160 Baszyn,Wińsko wołowski,dolnośląskie
63-716 Baszyny,Krotoszyn krotoszyński,wielkopolskie
63-716 Baszyny (Ugrzele),Krotoszyn krotoszyński,wielkopolskie
63-716 Baszyny (Witki),Krotoszyn krotoszyński,wielkopolskie
88-110 Batkowo,Inowrocław inowrocławski,kujawsko-pomorskie
06-216 Batogowo,Sypniewo makowski,mazowieckie
62-081 Batorowo,Tarnowo Podgórne poznański,wielkopolskie
77-420 Batorowo,Lipka złotowski,wielkopolskie
77-420 Batorówko,Lipka złotowski,wielkopolskie
23-320 Batorz (Batorz Drugi),Batorz janowski,lubelskie
23-320 Batorz (Batorz-Kolonia),Batorz janowski,lubelskie
23-320 Batorz (Batorz Pierwszy),Batorz janowski,lubelskie
32-086 Batowice,Zielonki krakowski,małopolskie
74-230 Batowo,Lipiany pyrzycki,zachodniopomorskie
37-713 Batycze,Żurawica przemyski,podkarpackie
78-331 Batyń,Rąbino świdwiński,zachodniopomorskie
77-124 Bawernica,Parchowo bytowski,pomorskie
21-065 Bazar (Popów),Rybczewice świdnicki,lubelskie
21-065 Bazar,Rybczewice świdnicki,lubelskie
21-065 Bazar (Chodyłówka),Rybczewice świdnicki,lubelskie
97-340 Bazar,Rozprza piotrkowski,łódzkie
06-200 Bazar,Szelków makowski,mazowieckie
27-670 Bazów,Łoniów sandomierski,świętokrzyskie
43-440 Bażanowice,Goleszów cieszyński,śląskie
38-530 Bażanówka,Zarszyn sanocki,podkarpackie
63-421 Bażantarnia,Przygodzice ostrowski,wielkopolskie
46-243 Bażany,Kluczbork kluczborski,opolskie
11-130 Bażyny,Orneta lidzbarski,warmińsko-mazurskie
64-607 Bąblin,Oborniki obornicki,wielkopolskie
64-607 Bąblinek,Oborniki obornicki,wielkopolskie
64-607 Bąbliniec,Oborniki obornicki,wielkopolskie
88-140 Bąbolin,Gniewkowo inowrocławski,kujawsko-pomorskie
88-300 Bąbowo,Mogilno mogileński,kujawsko-pomorskie
83-334 Bącka Huta,Sierakowice kartuski,pomorskie
83-329 Bącz,Kartuzy kartuski,pomorskie
83-329 Bącz (Olszowe Błoto),Kartuzy kartuski,pomorskie
33-335 Bącza-Kunina,Nawojowa nowosądecki,małopolskie
38-242 Bączal Dolny,Skołyszyn jasielski,podkarpackie
38-242 Bączal Górny,Skołyszyn jasielski,podkarpackie
39-232 Bączałka,Brzostek dębicki,podkarpackie
83-250 Bączek,Skarszewy starogardzki,pomorskie
08-480 Bączki,Maciejowice garwoliński,mazowieckie
72-131 Bącznik,Goleniów goleniowski,zachodniopomorskie
63-805 Bączylas,Poniec gostyński,wielkopolskie
89-320 Bądecz,Wysoka pilski,wielkopolskie
82-520 Bądki,Gardeja kwidzyński,pomorskie
82-520 Bądki (Czachówek),Gardeja kwidzyński,pomorskie
14-230 Bądki,Zalewo iławski,warmińsko-mazurskie
78-460 Bądki,Barwice szczecinecki,zachodniopomorskie
87-704 Bądkowo,Bądkowo aleksandrowski,kujawsko-pomorskie
06-430 Bądkowo,Sońsk ciechanowski,mazowieckie
72-310 Bądkowo,Płoty gryficki,zachodniopomorskie
09-414 Bądkowo Jeziorne,Brudzeń Duży płocki,mazowieckie
09-414 Bądkowo Kościelne,Brudzeń Duży płocki,mazowieckie
09-414 Bądkowo-Podlasie,Brudzeń Duży płocki,mazowieckie
09-414 Bądkowo-Rochny,Brudzeń Duży płocki,mazowieckie
09-414 Bądkowo-Rumunki,Brudzeń Duży płocki,mazowieckie
95-001 Bądków,Zgierz zgierski,łódzkie
05-610 Bądków,Goszczyn grójecki,mazowieckie
62-731 Bądków Drugi,Przykona turecki,wielkopolskie
62-731 Bądków Pierwszy,Przykona turecki,wielkopolskie
87-704 Bądkówek,Bądkowo aleksandrowski,kujawsko-pomorskie
11-220 Bądle,Górowo Iławeckie bartoszycki,warmińsko-mazurskie
14-400 Bądy,Pasłęk elbląski,warmińsko-mazurskie
82-450 Bądze,Stary Dzierzgoń sztumski,pomorskie
11-220 Bądze,Górowo Iławeckie bartoszycki,warmińsko-mazurskie
67-222 Bądzów,Jerzmanowa głogowski,dolnośląskie
67-222 Bądzów (Golowice),Jerzmanowa głogowski,dolnośląskie
09-304 Bądzyn,Lubowidz żuromiński,mazowieckie
95-080 Bądzyń,Tuszyn łódzki wschodni,łódzkie
86-253 Bągart,Kijewo Królewskie chełmiński,kujawsko-pomorskie
87-214 Bągart,Płużnica wąbrzeski,kujawsko-pomorskie
82-440 Bągart,Dzierzgoń sztumski,pomorskie
89-240 Bąk,Kcynia nakielski,kujawsko-pomorskie
83-440 Bąk,Karsin kościerski,pomorskie
83-432 Bąk,Stara Kiszewa kościerski,pomorskie
55-040 Bąki,Kobierzyce wrocławski,dolnośląskie
99-232 Bąki,Zadzim poddębicki,łódzkie
06-513 Bąki,Wieczfnia Kościelna mławski,mazowieckie
27-310 Bąkowa,Ciepielów lipski,mazowieckie
97-510 Bąkowa Góra,Ręczno piotrkowski,łódzkie
46-112 Bąkowice,Świerczów namysłowski,opolskie
97-306 Bąkowiec,Grabica piotrkowski,łódzkie
26-930 Bąkowiec,Garbatka-Letnisko kozienicki,mazowieckie
88-133 Bąkowo,Dąbrowa Biskupia inowrocławski,kujawsko-pomorskie
86-160 Bąkowo,Warlubie świecki,kujawsko-pomorskie
77-235 Bąkowo,Trzebielino bytowski,pomorskie
83-050 Bąkowo,Kolbudy gdański,pomorskie
89-333 Bąkowo,Wyrzysk pilski,wielkopolskie
86-160 Bąkowski Młyn,Warlubie świecki,kujawsko-pomorskie
56-513 Bąków,Międzybórz oleśnicki,dolnośląskie
55-095 Bąków,Długołęka wrocławski,dolnośląskie
26-411 Bąków,Rusinów przysuski,mazowieckie
26-505 Bąków,Orońsko szydłowiecki,mazowieckie
49-200 Bąków,Grodków brzeski,opolskie
46-233 Bąków,Kluczbork kluczborski,opolskie
43-246 Bąków,Strumień cieszyński,śląskie
99-440 Bąków Dolny,Zduny łowicki,łódzkie
99-440 Bąków Górny,Zduny łowicki,łódzkie
05-503 Bąkówka,Piaseczno piaseczyński,mazowieckie
26-411 Bąków-Kolonia,Rusinów przysuski,mazowieckie
84-351 Bąsewice,Nowa Wieś Lęborska lęborski,pomorskie
11-200 Bąsze,Bartoszyce bartoszycki,warmińsko-mazurskie
29-100 Bebelno-Kolonia,Włoszczowa włoszczowski,świętokrzyskie
29-100 Bebelno-Wieś,Włoszczowa włoszczowski,świętokrzyskie
16-411 Becejły,Szypliszki suwalski,podlaskie
95-083 Bechcice-Kolonia,Lutomiersk pabianicki,łódzkie
95-083 Bechcice-Parcela,Lutomiersk pabianicki,łódzkie
95-083 Bechcice-Wieś,Lutomiersk pabianicki,łódzkie
86-140 Bedlenki,Drzycim świecki,kujawsko-pomorskie
26-200 Bedlenko,Końskie konecki,świętokrzyskie
21-300 Bedlno,Radzyń Podlaski radzyński,lubelskie
99-311 Bedlno (Bedlno-Kamieniec),Bedlno kutnowski,łódzkie
26-200 Bedlno,Końskie konecki,świętokrzyskie
78-311 Bedlno,Świdwin świdwiński,zachodniopomorskie
21-300 Bedlno Radzyńskie,Radzyń Podlaski radzyński,lubelskie
99-311 Bedlno-Wieś,Bedlno kutnowski,łódzkie
99-311 Bedlno-Żbiwiec,Bedlno kutnowski,łódzkie
38-305 Bednarka,Lipinki gorlicki,małopolskie
14-100 Bednarki,Ostróda ostródzki,warmińsko-mazurskie
99-416 Bednary,Nieborów łowicki,łódzkie
96-330 Bednary,Puszcza Mariańska żyrardowski,mazowieckie
62-010 Bednary,Pobiedziska poznański,wielkopolskie
99-416 Bednary-Kolonia,Nieborów łowicki,łódzkie
97-420 Bednarze,Szczerców bełchatowski,łódzkie
07-120 Bednarze,Korytnica węgrowski,mazowieckie
21-211 Bednarzówka,Dębowa Kłoda parczewski,lubelskie
14-230 Bednarzówka,Zalewo iławski,warmińsko-mazurskie
95-020 Bedoń Przykościelny,Andrespol łódzki wschodni,łódzkie
95-020 Bedoń-Wieś,Andrespol łódzki wschodni,łódzkie
09-440 Begno,Staroźreby płocki,mazowieckie
06-126 Begno,Gzy pułtuski,mazowieckie
08-207 Bejdy,Olszanka łosicki,mazowieckie
28-512 Bejsce,Bejsce kazimierski,świętokrzyskie
21-070 Bekiesza,Cyców łęczyński,lubelskie
98-161 Beleń,Zapolice zduńskowolski,łódzkie
98-161 Beleń-Kolonia,Zapolice zduńskowolski,łódzkie
64-231 Belęcin,Siedlec wolsztyński,wielkopolskie
83-425 Belfort,Dziemiany kościerski,pomorskie
09-120 Belin,Nowe Miasto płoński,mazowieckie
86-131 Belno,Jeżewo świecki,kujawsko-pomorskie
09-500 Belno,Gostynin gostyniński,mazowieckie
26-004 Belno,Bieliny kielecki,świętokrzyskie
26-050 Belno,Zagnańsk kielecki,świętokrzyskie
62-610 Belny,Sompolno koniński,wielkopolskie
62-610 Belny (Ośno Podleśne),Sompolno koniński,wielkopolskie
05-622 Belsk Duży,Belsk Duży grójecki,mazowieckie
05-622 Belsk Mały,Belsk Duży grójecki,mazowieckie
23-275 Belweder,Gościeradów kraśnicki,lubelskie
97-400 Bełchatów,Bełchatów bełchatowski,łódzkie
97-400 Bełchatów (Bugaj),Bełchatów bełchatowski,łódzkie
99-418 Bełchów,Nieborów łowicki,łódzkie
56-210 Bełcz Górny,Wąsosz górowski,dolnośląskie
56-210 Bełcz Mały,Wąsosz górowski,dolnośląskie
56-215 Bełcz Wielki,Niechlów górowski,dolnośląskie
21-306 Bełcząc,Czemierniki radzyński,lubelskie
12-230 Bełcząc,Biała Piska piski,warmińsko-mazurskie
66-130 Bełcze,Bojadła zielonogórski,lubuskie
66-130 Bełcze (Sosnówka),Bojadła zielonogórski,lubuskie
73-153 Bełczna,Łobez łobeski,zachodniopomorskie
59-610 Bełczyna,Wleń lwówecki,dolnośląskie
19-206 Bełda,Rajgród grajewski,podlaskie
32-731 Bełdno,Żegocina bocheński,małopolskie
95-070 Bełdów,Aleksandrów Łódzki zgierski,łódzkie
95-070 Bełdów-Krzywa Wieś,Aleksandrów Łódzki zgierski,łódzkie
95-070 Bełdów-Krzywa Wieś (Jastrzębiec),Aleksandrów Łódzki zgierski,łódzkie
26-420 Bełek,Nowe Miasto nad Pilicą grójecki,mazowieckie
44-237 Bełk,Czerwionka-Leszczyny rybnicki,śląskie
28-313 Bełk,Imielno jędrzejowski,świętokrzyskie
13-230 Bełk,Lidzbark działdowski,warmińsko-mazurskie
88-220 Bełszewo,Osięciny radziejowski,kujawsko-pomorskie
88-220 Bełszewo-Kolonia,Osięciny radziejowski,kujawsko-pomorskie
44-362 Bełsznica,Gorzyce wodzisławski,śląskie
78-312 Bełtno,Świdwin świdwiński,zachodniopomorskie
37-700 Bełwin,Przemyśl przemyski,podkarpackie
37-700 Bełwin (Chałupki Bełwińskie),Przemyśl przemyski,podkarpackie
28-530 Bełzów,Skalbmierz kazimierski,świętokrzyskie
22-670 Bełżec,Bełżec tomaszowski,lubelskie
24-200 Bełżyce,Bełżyce lubelski,lubelskie
14-500 Bemowizna,Braniewo braniewski,warmińsko-mazurskie
12-230 Bemowo Piskie,Biała Piska piski,warmińsko-mazurskie
09-214 Bendorzyn,Mochowo sierpecki,mazowieckie
96-300 Benenard,Radziejowice żyrardowski,mazowieckie
62-310 Benewicze,Pyzdry wrzesiński,wielkopolskie
98-220 Beniaminów,Zduńska Wola zduńskowolski,łódzkie
05-126 Beniaminów,Nieporęt legionowski,mazowieckie
63-700 Benice,Krotoszyn krotoszyński,wielkopolskie
72-400 Benice,Kamień Pomorski kamieński,zachodniopomorskie
62-400 Benignowo,Słupca słupecki,wielkopolskie
38-713 Beniowa,Lutowiska bieszczadzki,podkarpackie
82-420 Benowo,Ryjewo kwidzyński,pomorskie
27-640 Beradz,Klimontów sandomierski,świętokrzyskie
64-113 Berdychowo,Osieczna leszczyński,wielkopolskie
63-740 Berdychów,Kobylin krotoszyński,wielkopolskie
22-175 Berdyszcze,Dorohusk chełmski,lubelskie
21-104 Berejów,Niedźwiada lubartowski,lubelskie
98-358 Beresie Duże,Kiełczygłów pajęczański,łódzkie
98-358 Beresie Małe,Kiełczygłów pajęczański,łódzkie
33-380 Berest,Krynica-Zdrój nowosądecki,małopolskie
22-435 Berestki,Komarów-Osada zamojski,lubelskie
22-425 Bereść,Grabowiec zamojski,lubelskie
21-560 Bereza,Międzyrzec Podlaski bialski,lubelskie
38-610 Berezka,Solina leski,podkarpackie
21-512 Berezówka,Zalesie bialski,lubelskie
17-240 Berezyszcze,Czeremcha hajnowski,podlaskie
17-240 Berezyszcze (Osyp),Czeremcha hajnowski,podlaskie
38-713 Bereżki,Lutowiska bieszczadzki,podkarpackie
22-523 Bereżnica,Horodło hrubieszowski,lubelskie
38-610 Bereżnica Wyżna,Solina leski,podkarpackie
78-312 Berkanowo,Świdwin świdwiński,zachodniopomorskie
11-510 Berkowo,Wydminy giżycki,warmińsko-mazurskie
62-265 Berkowo,Kiszkowo gnieźnieński,wielkopolskie
88-324 Berlinek,Jeziora Wielkie mogileński,kujawsko-pomorskie
48-100 Bernacice,Głubczyce głubczycki,opolskie
48-100 Bernacice Górne,Głubczyce głubczycki,opolskie
17-220 Bernacki Most,Narewka hajnowski,podlaskie
87-640 Bernardowo,Czernikowo toruński,kujawsko-pomorskie
26-225 Bernów,Gowarczów konecki,świętokrzyskie
87-731 Bertowo,Waganiec aleksandrowski,kujawsko-pomorskie
64-200 Berzyna,Wolsztyn wolsztyński,wielkopolskie
16-500 Berżałowce,Sejny sejneński,podlaskie
16-500 Berżniki,Sejny sejneński,podlaskie
99-150 Besiekiery,Grabów łęczycki,łódzkie
95-001 Besiekierz Nawojowy,Zgierz zgierski,łódzkie
95-001 Besiekierz Rudny,Zgierz zgierski,łódzkie
38-524 Besko,Besko sanocki,podkarpackie
32-711 Bessów,Bochnia bocheński,małopolskie
63-760 Bestwin,Zduny krotoszyński,wielkopolskie
43-512 Bestwina,Bestwina bielski,śląskie
43-512 Bestwinka,Bestwina bielski,śląskie
05-332 Bestwiny,Siennica miński,mazowieckie
28-232 Beszowa,Łubnice staszowski,świętokrzyskie
27-660 Beszyce,Koprzywnica sandomierski,świętokrzyskie
87-840 Beszyn,Lubień Kujawski włocławski,kujawsko-pomorskie
87-840 Beszyn (Siemionki),Lubień Kujawski włocławski,kujawsko-pomorskie
09-152 Beszyno,Naruszewo płoński,mazowieckie
64-020 Betkowo,Czempiń kościański,wielkopolskie
22-130 Bezek,Siedliszcze chełmski,lubelskie
22-130 Bezek Dębiński,Siedliszcze chełmski,lubelskie
22-130 Bezek-Kolonia,Siedliszcze chełmski,lubelskie
11-200 Bezledy,Bartoszyce bartoszycki,warmińsko-mazurskie
11-440 Bezławecki Dwór,Reszel kętrzyński,warmińsko-mazurskie
11-440 Bezławki,Reszel kętrzyński,warmińsko-mazurskie
11-440 Bezławki (Bertyny),Reszel kętrzyński,warmińsko-mazurskie
11-440 Bezławki (Stąpławki),Reszel kętrzyński,warmińsko-mazurskie
11-440 Bezławki (Staniewo),Reszel kętrzyński,warmińsko-mazurskie
11-440 Bezławki (Mała Bertynówka),Reszel kętrzyński,warmińsko-mazurskie
38-600 Bezmiechowa Dolna,Lesko leski,podkarpackie
38-600 Bezmiechowa Górna,Lesko leski,podkarpackie
72-315 Bezmoście,Resko łobeski,zachodniopomorskie
62-834 Beznatka,Ceków-Kolonia kaliski,wielkopolskie
62-834 Beznatka (Korek),Ceków-Kolonia kaliski,wielkopolskie
62-710 Beznazwa,Władysławów turecki,wielkopolskie
78-122 Bezpraw,Kołobrzeg kołobrzeski,zachodniopomorskie
71-220 Bezrzecze Aloesowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-234 Bezrzecze Ametystowa,Dobra (Szczecińska) policki,zachodniopomorskie
72-003 Bezrzecze Anyżkowa,Dobra (Szczecińska) policki,zachodniopomorskie
72-003 Bezrzecze Azaliowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-220 Bezrzecze Bazyliowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Berberysowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Bluszczowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-235 Bezrzecze Brylantowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Bukszpanowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-220 Bezrzecze Cynamonowa,1-DK Dobra (Szczecińska) policki,zachodniopomorskie
72-003 Bezrzecze Cynamonowa,1-DK Dobra (Szczecińska) policki,zachodniopomorskie
71-232 Bezrzecze Diamentowa,Dobra (Szczecińska) policki,zachodniopomorskie
72-003 Bezrzecze Dolina Słońca,Dobra (Szczecińska) policki,zachodniopomorskie
71-221 Bezrzecze Drozdowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Dworska,Dobra (Szczecińska) policki,zachodniopomorskie
71-220 Bezrzecze Goździkowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-218 Bezrzecze Górna,Dobra (Szczecińska) policki,zachodniopomorskie
72-003 Bezrzecze Herbaciana,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Holenderska,Dobra (Szczecińska) policki,zachodniopomorskie
71-237 Bezrzecze Jaspisowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-220 Bezrzecze Jesionowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-218 Bezrzecze Karmelowa,Dobra (Szczecińska) policki,zachodniopomorskie
72-003 Bezrzecze Kminkowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-220 Bezrzecze Koralowa,Dobra (Szczecińska) policki,zachodniopomorskie
72-003 Bezrzecze Korzenna,Dobra (Szczecińska) policki,zachodniopomorskie
71-218 Bezrzecze Kościelna,Dobra (Szczecińska) policki,zachodniopomorskie
72-003 Bezrzecze Maciejki,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Mahoniowa,Dobra (Szczecińska) policki,zachodniopomorskie
72-003 Bezrzecze Miętowa,Dobra (Szczecińska) policki,zachodniopomorskie
72-003 Bezrzecze Miodowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Na Wzgórzu,Dobra (Szczecińska) policki,zachodniopomorskie
72-003 Bezrzecze Nad Ruczajem,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Nastrojowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-219 Bezrzecze Nowoleśna,Dobra (Szczecińska) policki,zachodniopomorskie
71-219 Bezrzecze Nowowiejska,Dobra (Szczecińska) policki,zachodniopomorskie
71-238 Bezrzecze Osiedle Leśne,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Pańska,Dobra (Szczecińska) policki,zachodniopomorskie
71-220 Bezrzecze Parkowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Perłowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-220 Bezrzecze Platynowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Podleśna,Dobra (Szczecińska) policki,zachodniopomorskie
71-218 Bezrzecze Promienna,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Rajska,Dobra (Szczecińska) policki,zachodniopomorskie
71-217 Bezrzecze Sosnowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Spokojna,Dobra (Szczecińska) policki,zachodniopomorskie
71-220 Bezrzecze Starowiejska,Dobra (Szczecińska) policki,zachodniopomorskie
71-236 Bezrzecze Szafirowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Szkolna,Dobra (Szczecińska) policki,zachodniopomorskie
72-003 Bezrzecze Tymiankowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Urocza,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Wilanowska,Dobra (Szczecińska) policki,zachodniopomorskie
71-216 Bezrzecze Willowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-221 Bezrzecze Wronia,Dobra (Szczecińska) policki,zachodniopomorskie
71-230 Bezrzecze Zaściankowa,Dobra (Szczecińska) policki,zachodniopomorskie
71-218 Bezrzecze Ziołowa,Dobra (Szczecińska) policki,zachodniopomorskie
21-310 Bezwola,Wohyń radzyński,lubelskie
21-310 Bezwola (Górne),Wohyń radzyński,lubelskie
21-310 Bezwola (Iski),Wohyń radzyński,lubelskie
21-310 Bezwola (Rokosz),Wohyń radzyński,lubelskie
26-400 Beźnik,Przysucha przysuski,mazowieckie
32-089 Bębło,Wielka Wieś krakowski,małopolskie
64-603 Bębnikąt,Oborniki obornicki,wielkopolskie
78-124 Bębnikąt,Rymań kołobrzeski,zachodniopomorskie
06-540 Bębnowo,Radzanów mławski,mazowieckie
98-313 Bębnów,Konopnica wieluński,łódzkie
26-225 Bębnów,Gowarczów konecki,świętokrzyskie
06-540 Bębnówko,Radzanów mławski,mazowieckie
32-444 Bęczarka,Myślenice myślenicki,małopolskie
97-352 Bęczkowice,Łęki Szlacheckie piotrkowski,łódzkie
26-008 Bęczków (Stara Wieś),Górno kielecki,świętokrzyskie
26-008 Bęczków (Komorniki Pierwsze),Górno kielecki,świętokrzyskie
26-008 Bęczków (Komorniki Drugie),Górno kielecki,świętokrzyskie
26-008 Bęczków (Górka),Górno kielecki,świętokrzyskie
26-008 Bęczków (Niwy),Górno kielecki,świętokrzyskie
26-008 Bęczków,Górno kielecki,świętokrzyskie
72-212 Bęczno,Maszewo goleniowski,zachodniopomorskie
23-250 Bęczyn,Urzędów kraśnicki,lubelskie
34-113 Bęczyn,Brzeźnica wadowicki,małopolskie
19-230 Bęćkowo,Szczuczyn grajewski,podlaskie
73-261 Będargowiec,Pełczyce choszczeński,zachodniopomorskie
84-217 Będargowo,Szemud wejherowski,pomorskie
73-261 Będargowo,Pełczyce choszczeński,zachodniopomorskie
72-005 Będargowo,Kołbaskowo policki,zachodniopomorskie
74-202 Będgoszcz,Bielice pyrzycki,zachodniopomorskie
55-050 Będkowice,Sobótka wrocławski,dolnośląskie
32-089 Będkowice,Wielka Wieś krakowski,małopolskie
55-100 Będkowo,Trzebnica trzebnicki,dolnośląskie
97-410 Będków,Kleszczów bełchatowski,łódzkie
98-332 Będków,Rząśnia pajęczański,łódzkie
98-260 Będków,Burzenin sieradzki,łódzkie
97-319 Będków,Będków tomaszowski,łódzkie
